lig_name,SMILE
LAT,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O
UDP,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O
RTL,OC/C=C(/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C)\C
VD3,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC[C@H]2CC[C@@H]1C[C@@H](O)CCC1=C)C)C
DKA,CCCCCCCCCC(=O)O
OCA,CCCCCCCC(=O)O
DAO,CCCCCCCCCCCC(=O)O
MYR,CCCCCCCCCCCCCC(=O)O
PLM,CCCCCCCCCCCCCCCC(=O)O
STE,CCCCCCCCCCCCCCCCCC(=O)O
SDS,CCCCCCCCCCCCOS(O)(O)O
EW8,CCCCCCCCCCCCCCCCCCC(=O)O
X90,CCCCCCCCCCCCCCCCC(=O)O
F15,CCCCCCCCCCCCCCC(=O)O
TDA,C/C=C/CCC/C=C/CCCCC(=O)O
I3P,O[C@@H]1[C@@H](OP(O)(O)O)[C@H](OP(O)(O)O)[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)O
PIB,CCCC(=O)O[C@H](COP(O[C@H]1[C@H](O)[C@@H](O)[C@@H]([C@H]([C@H]1O)OP(O)(O)O)O)(O)O)COC(=O)CCC
T44,OC(=O)[C@H](Cc1cc(I)c(c(c1)I)Oc1cc(I)c(c(c1)I)O)[NH3+]
C7K,OC(=O)CCCCCCCCCCCNc1ccc(c2c1non2)N(=O)=O
MJI,CCCCCCCCCCCCCCCCOC[C@@H](OP(OC)(O)O)COCC(F)(F)F
1F1,OC(=O)c1ccc2c(c1)[nH]cc2
IOP,OC(=O)CCc1c[nH]c2c1cccc2
DM2,OCC(=O)[C@@]1(O)C[C@H](O[C@@H]2O[C@@H](C)[C@H]([C@H](C2)[NH3+])O)c2c(C1)c(O)c1c(c2O)c(O)c2c(c1O)cccc2OC
J3Z,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C
VDX,O[C@H]1C[C@H](O)C(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@H](CCCC(O)(C)C)C)C)/C1
MC9,O[C@H]1C[C@H](O)C(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@@H](/C=C/[C@H](C2CC2)O)C)C)/C1
GLU,OC(=O)CC[C@@H](C(=O)O)[NH3+]
OXN,COCCOCCOCCOc1ccc(cc1)C(CC(C)(C)C)(C)C
KD0,O[C@@H]([C@H]([C@@H]([C@@H](CC(=O)C(=O)O)O)O)O)COP(O)(O)O
EST,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C
GTP,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
KVT,O=C(CN1C(=O)NC(C1=O)(C)C)Nc1ccc(c(c1)S(=O)(=O)N1CCCCCC1)C
KVZ,O=C(CN1C(=O)N[C@]2(C1=O)CCCc1c2cccc1)Nc1ccc(c(c1)S(=O)(=O)N(C)C)Cl
TDR,C[C@H]1C=NC(=O)NC1=O
THM,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(C)c(=O)[nH]c1=O
6-mer,OC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)O)CCCCNC(=O)C)CCC[NH+]=C(N)N)[NH3+]
36Z,COC(=O)c1cc(N)cc(c1)c1c(C)noc1C
37N,OC(=O)c1cc(cc(c1)c1c(C)noc1C)NS(=O)(=O)c1ccccc1
39R,Nc1cccc(c1)c1[nH]nc(n1)c1ccccc1
6XC,O=c1[nH]c2c(nccc2cc1C)NC1CC[NH2+]CC1
78J,O=c1[nH]c2c(nccc2cc1C)N[C@@H]1CC[NH2+]C[C@H]1OCC1CCCCC1
1DM,OC[C@H]1O[C@H](Oc2cc(CO)cc(c2)N(=O)=O)[C@@H]([C@H]([C@H]1O)O)O
OS6,CCCCn1nnc(c1)CCCSC[C@H]1C[N@H+](C[C@@H]1O)Cc1c[nH]c2c1ncnc2N
OS5,O[C@H]1C[N@@H+](C[C@@H]1CSCCCc1nnn(c1)Cc1ccccc1)Cc1c[nH]c2c1ncnc2N
OS3,C#CCCCSC[C@H]1C[N@H+](C[C@@H]1O)Cc1c[nH]c2c1ncnc2N
OS2,C#CCSC[C@H]1C[N@H+](C[C@@H]1O)Cc1c[nH]c2c1ncnc2N
MK1,O[C@H](C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cccnc1)C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1
XN3,O[C@@H](C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1)C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1ccc2c(c1)OCO2
XN1,O[C@H](C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cccnc1)C[C@@H]([C@@H](c1ccccc1)C)C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2
XN2,O[C@@H](C[C@@H]([C@@H](c1ccccc1)C)C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1ccc2c(c1)OCO2
DHT,O=C1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C
DQT,CO[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@@H]1OC(=O)c1ccc(cc1)C)NC(=O)c1ccc(cc1)C)O
TD2,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)n2nnc(c2)c2cccc(c2)F)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O
TGZ,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O
BKK,OC[C@H]1O[C@@H](Sc2cccc(c2)Cl)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cc(F)c(c(c1)F)F)O
BKH,OC[C@H]1O[C@H](Sc2ccc(c(c2)Cl)Cl)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cc(F)c(c(c1)F)F)O
J62,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1ccc(c(c1)C)F)O
J5W,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1ccccc1F)O
HRK,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1ccccc1)O
J4N,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cc(F)cc(c1)F)O
J4E,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1ccc(cc1)F)O
J3Q,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cc(F)c(c(c1)F)F)O
J5E,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1ccc(c(c1)F)F)O
J5Q,OC[C@H]1O[C@@H](Sc2ccc(cc2)C)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O
J1E,OC[C@H]1O[C@@H](SC[C@H](Cn2nnc(c2)c2cccc(c2)F)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O
J0T,OC[C@H]1O[C@@H](SC[C@@H](Cn2nnc(c2)c2cccc(c2)F)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O
U5P,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(=O)[nH]c1=O)COP(O)(O)O
BPY,Oc1c(O)cccc1c1ccccc1
BP3,Clc1ccccc1c1cccc(c1O)O
BMU,O=C(Nc1cc(nn1C)C(C)(C)C)Nc1ccc(cc1)Cl
1PP,O=C(Nc1cccc(c1Cl)Cl)Nc1cc(nn1c1ccccc1)C(C)(C)C
AQZ,COc1cc2ncnc(c2cc1OCC[NH+]1CCCC1)Nc1cc(ccc1C)NC(=O)c1ccnc(c1)N1CCOCC1
PQA,Fc1ccc(cc1)n1ncc(c1N)C(=O)c1cccc(c1)OC1CC[NH2+]CC1
YIX,CCNC(=O)NCc1ccccc1Sc1ccc2n(c1)c(nn2)C(C)C
GK4,Cc1nnc(o1)c1ccc(c(c1)c1ccc(cc1)C(=O)NCC1CC1)C
SB2,Fc1ccc(cc1)c1[nH]c(nc1c1ccncc1)c1ccc(cc1)[S@@](O)C
BAX,CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl
R48,O=C(Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C)Nc1cccc(c1)Nc1ncnc2c1cc(N)cc2
469,Fc1ccc(cc1)C[N@@H+]1C[C@@H](C)N(C[C@@H]1C)C(=O)c1cc2c(cn(c2cc1Cl)C)C(=O)C(=O)N(C)C
G97,C=CC(=O)Nc1ccc2c(c1)nc(nc2Nc1ccn[nH]1)c1ccccc1
DF3,O=C(Nc1ccc2c(c1)OCCO2)CSc1cn(c2c1cccc2)CCNC(=O)c1cccc(c1)C(F)(F)F
PP0,CCOC(=O)c1n(CC)c(c(c1C)C(=O)N1CC[NH+](CC1)Cc1ccccc1)C
LM3,CN(c1nnc(c(c1)c1ccncc1)c1cccc2c1cccc2)C
78L,O=C1c2ccc(cc2CCc2c1cc(cc2)C(=O)N/C=C\N1CCOCC1)Nc1cc(NC(=O)c2cccs2)c(cc1F)F
RBF,OC[C@H]([C@H]([C@H](Cn1c2cc(C)c(cc2nc2c1nc(=O)[nH]c2=O)C)O)O)O
CBN,CO[C@@H]1[C@@H](OC(=O)c2ccc([nH]2)C)[C@@H](O)[C@@H](OC1(C)C)Oc1ccc2c(c1Cl)oc(=O)c(c2O)NC(=O)c1ccc(c(c1)CC=C(C)C)O
RLI,CCC(=O)Nc1nc(c(s1)c1csc(n1)Nc1ccc(cc1)C(=O)O)C
4S4,OC(=O)CNC(=O)c1ccc(cc1)NC(=O)c1[nH]c(c(c1)Br)Br
137,O[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)CNc1ccccc1C(=O)O
1AN,Nc1ccccc1F
IPH,Oc1ccccc1
3CH,Oc1cccc(c1)Cl
5MP,Cc1c[nH]cc1
BNZ,c1ccccc1
MBN,Cc1ccccc1
2LP,CCCc1ccccc1O
ES3,Brc1cnc[nH]1
DOG,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C
DTX,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C
FLU,Oc1ccc2c(c1)oc1c(c2c2ccccc2C(=O)O)ccc(=O)c1
NLA,OC(=O)Cc1cccc2c1cccc2
PMP,[NH3+]Cc1c(COP(O)(O)O)cnc(c1O)C
FRG,COC(=O)[C@H](Cc1ccc(cc1)C#Cc1ccccc1)NC(=O)C[C@H]1CCCN(C1)C(=[NH2+])N
DXP,O[C@@H]([C@@H](C(=O)C)O)COP(O)(O)O
PPG,[NH3+]CCO/C=C/[C@@H](C(=O)O)[NH2+]Cc1c(cnc(c1O)C)COP(O)(O)O
TXW,CCCc1nc(C)c2c(c1)[nH]c(=O)cc2
SCK,O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C
CHT,OCC[N+](C)(C)C
HI6,NC(=O)c1cc[n+](cc1)COC[n+]1ccccc1
C56,COc1cc(N(C)C)c(cc1C(=O)NC[C@H]1CCC[N@@H+]1CC)N(=O)=O
C57,COc1cc(N(C)C)c(cc1C(=O)NC[C@@H]1CCC[N@H+]1CC)N(=O)=O
ISC,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O
NH1,Oc1ccc(cc1)CC[C@]1(CC(=C(C(=O)O1)Sc1cc(C)c(cc1C(C)(C)C)N)O)C1CCCC1
SX3,C[C@@H]1C[C@H](C)CN(C1)C(=O)c1cc(Br)ccc1N
SX5,C[C@@H]1C[C@H](C)CN(C1)C(=O)c1cc(Br)ccc1NC(=O)CCC(=O)O
SX6,C[C@@H]1C[C@H](C)CN(C1)C(=O)c1cc(Br)ccc1NC(=O)CCC(=O)N1CCOCC1
HJZ,C[C@@H]1CC[C@H](CC1)c1ccccc1c1cc(sc1C(=O)O)c1ccccc1
4VA,CC[C@H](c1ccc(c(c1F)Oc1ccccc1)Cl)[NH2+][C@H](CC(=O)N)C
1LH,CC[C@H](c1ccc(c(c1F)Oc1ccccc1)Cl)[NH2+][C@H](CC(=O)NCC[NH3+])C
PW1,[NH3+]Cc1ccc(c(c1F)Oc1ccccc1)F
0S2,C[C@@H]1CC[C@H](CC1)C(=O)N(c1cc(sc1C(=O)O)C#CC(C)(C)C)C(C)C
0S3,C[C@@H]1CC[C@H](CC1)C(=O)N(c1cc(sc1C(=O)O)C#CC(C)(C)C)[NH+](C)C
12R,c1ccc(cc1)NNc1ncnc2c1c[nH]n2
1EP,CC([C@@H]1NC(=O)N(C1=O)Cc1ccc(cc1)C(C)(C)C)C
1ER,O=C1N=CC=C[C@@H]1c1cccc(c1)C(C)(C)C
PPF,OC(=O)P(O)(O)O
ADE,Nc1ncnc2c1[nH]cn2
AGY,O=C(Nc1cccc2c1cccc2)NNC(=O)c1ccc(c(c1)N(=O)=O)C(C)(C)C
IMH,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
MTI,CSC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
SAM,C[S@](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+]
SAH,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
AZN,O=C1c2ccccc2C(=O)c2c1cc(c(c2O)O)S(O)(O)O
SER-DNF,OC[C@@H](C(=O)O)Nc1ccc(cc1N(=O)=O)N(=O)=O
ADN,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
GMP,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(N)[nH]c2=O
GSH,SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+]
RIP,O[C@@H]1CO[C@H]([C@@H]([C@@H]1O)O)O
IFM,OC[C@H]1C[NH2+]C[C@H]([C@@H]1O)O
OXZ,OC[C@H]1O[NH2+]C[C@H]([C@@H]1O)O
CTS,O[C@@H]1[C@@H](O)C[N@H+]2[C@@H]([C@H]1O)[C@@H](O)CC2
CGB,O[C@@H]1[C@@H](O)[C@H]2CC[C@@]([C@H]1O)([NH2+]2)O
GIM,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1ccn2)O
PGI,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)CCc1ccccc1)O
NOY,OC[C@H]1C[NH2+][C@@H]([C@H]([C@@H]1O)O)O
NOJ,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O
GOX,OC[C@H]1N/C(=N\O)/[C@@H]([C@H]([C@@H]1O)O)O
GTL,OC[C@H]1N/C(=N\O)/[C@@H]([C@H]([C@H]1O)O)O
NTZ,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnn2)O
GI1,CO[C@@H](c1cn2c(n1)[C@H](O)[C@H]([C@@H]([C@H]2CO)O)O)O
GI2,COC(=O)Cc1cn2c(n1)[C@H](O)[C@H]([C@@H]([C@H]2CO)O)O
GI3,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)C(=O)O)O
GI4,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)CC(=O)O)O
AZF,OC[C@H]1[NH2+][NH2+]C[C@H]([C@@H]1O)O
NCW,CCCCCCCCNC(=S)N1[C@@H]2OC[C@H]1[C@H]([C@@H]([C@H]2O)O)O
AMF,CCCCCCCC/N=C/1\SC[C@H]2N1[C@@H](O)[C@H](O)[C@H]([C@@H]2O)O
AEZ,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2c1[nH]cn2)O
ATC,C[NH+](CC(=O)Nc1ccc2c(c1O)C(=O)C1=C(O)[C@]3([C@@H](C[C@@H]1C2)[C@H]([NH+](C)C)C(=C(C3=O)C(=O)N)O)O)C
6MG,CC(C[C@@H](C(=O)NC[C@H](C(C)(C)C)C)NP(CNC(=O)OCc1ccccc1)(O)O)C
6NG,CC(C[C@@H](C(=O)NC[C@@H](C(C)(C)C)C)NP(CNC(=O)OCc1ccccc1)(O)O)C
7AF,CC(C[C@@H](C(=O)N)NP(CNC(=O)OCc1ccccc1)(O)O)C
6QC,CC[C@H](CNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C)C
6NN,CC[C@H](CNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C)C
6XO,CC(C[C@@H](C(=O)N[C@H](C(=O)O)CC1CCCCC1)NP(CNC(=O)OCc1ccccc1)(O)O)C
79F,OC[C@@H](C(=O)N)NP(CNC(=O)OCc1ccccc1)(O)O
79E,CC(C[C@@H](C(=O)NCC(=O)N)NP(CNC(=O)OCc1ccccc1)(O)O)C
7GR,CC(C[C@@H](C(=O)O)NC(=O)CNP(CNC(=O)OCc1ccccc1)(O)O)C
7K0,[NH3+]C[C@@H](C(=O)N[C@H](C(=O)O)CC(C)C)NP(CNC(=O)OCc1ccccc1)(O)O
JC2,[NH3+]CC[C@@H](C(=O)O)NC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
8KK,[NH3+]CCCNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
8JH,[NH3+]CCCCNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
8LB,CCCC[C@@H](C(=O)O)NC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
8JQ,[NH3+]CCNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
8L5,[NH3+]CNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
8L2,[NH3+]C[C@@H](C(=O)O)NC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C
AIN,CC(=O)Oc1ccccc1C(=O)O
NFL,OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F
MS1,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(C(=O)/C=C/c1n(cnc1C(=O)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(O)(O)O)Cc1ccc2c(n1)c(=O)[nH]c(n2)N
IMP,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc[nH]c2=O)COP(O)(O)O
KFQ,O=c1[nH]c2ccccc2n2c1nnc2S
MPJ,CSCC[C@@H](P(O)(O)O)[NH3+]
36R,Clc1ccc2c(c1)nc(o2)N
G8E,O=C(c1nc(cnc1N)c1ccc(cc1)S(=O)(=O)N1CCOCC1)Nc1cccnc1
G8B,COc1ccccc1NC(=O)c1nc(cnc1N)c1ccc(cc1)S(=O)(=O)N1CC[NH+](CC1)C
TRP,OC(=O)[C@H](Cc1c[nH]c2c1cccc2)[NH3+]
HSM,C(c1c[nH]cn1)C[NH3+]
5GP,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc(N)[nH]c2=O)COP(O)(O)O
IPZ,COc1nccnc1C(C)C
KSA,COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O
Q6W,O=C(NCc1ccccn1)CCc1ccc2c(c1)c(=O)c1cc(cnc1cc2)c1cnn(c1)C1CC[NH2+]CC1
M61,O=c1c2cc(ccc2ccc2c1cc(cn2)c1cnn(c1)C1CC[NH2+]CC1)NS(=O)(=O)N(C[C@@H]1COCCO1)C
6TD,COc1ccc(cc1)Cc1nnc2n1nc(s2)c1cc2c([nH]1)cccc2
BET,OC(=O)C[N+](C)(C)C
L08,CCOc1ccccc1Sc1ccc(cc1N(=O)=O)c1ccnc(c1)N1CCN(CC1)C(=O)C
ICF,FC(O[C@H](C(F)(F)F)Cl)F
NGH,ONC(=O)CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C
37A,ONC(=O)N1C[C@@H]2O[C@H](C1)O[C@H]2C(=O)NCc1ccc(cc1)c1ccccc1
HS1,OC[C@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(=O)NO)O
HS3,OC[C@H](C(=O)NO)NS(=O)(=O)c1ccc(cc1)OC
HS4,O=NC(=O)CNS(=O)(=O)c1ccc(cc1)c1ccccc1
HS5,OCCN(S(=O)(=O)c1ccc(cc1)F)CC(=O)NO
HS6,ONC(=O)CNS(=O)(=O)c1ccc(cc1)F
HS7,ONC(=O)CNS(=O)(=O)c1ccccc1
Z79,ONC(=O)CNS(=O)(=O)c1ccc(cc1)OC
M4S,COc1ccc(cc1)S(=O)(=O)N
NHK,OCCN(S(=O)(=O)c1ccc(cc1)OC)CC(=O)NO
QEG,O=C(N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)O)CCC(=O)N)CCc1ccc(cc1)c1scc(c1)c1ccccc1
55L,OC(=O)C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)O)CCC(=O)O)Cc1onc(c1)c1ccc(cc1)c1cccc(c1)Cl
R47,OC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)CCC(=O)O)NC(=O)[C@@H](CP(c1ccc(cc1)Br)(O)O)Cc1onc(c1)c1ccc(cc1)c1cccc(c1)Cl
56O,ONC(=O)C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)O)CCC(=O)O)Cc1onc(c1)c1ccc(cc1)c1cccc(c1)Cl
ZG1,CCn1ncc2c1ncc(c2NC1CCOCC1)c1onc(n1)CC(=O)N1CCCC1
TDP,Cc1ncc(c(n1)N)Cn1csc(c1C)CCOP(OP(O)(O)O)(O)O
ALL,OC[C@H]1O[C@@H](O)[C@@H]([C@@H]([C@@H]1O)O)O
229,OC[C@H]([C@@H](CO)O)[NH2+]Cc1c[nH]c2c1nc[nH]c2=O
22A,OCC([NH2+]Cc1c[nH]c2c1nc[nH]c2=O)CO
SON,O=C(CP(O)(O)O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
EOI,C[C@H](Cn1cnc2c1ncnc2N)OC[P@@](=O)(OP(OP(O)(O)O)(O)O)S
8W3,CC[C@H](c1ccc(c(c1)N)C(=O)O)NC(=O)N1C/C(=N/Oc2ccccc2)/NC[C@H](C1=O)Cc1cc(Cl)ccc1OC
ARY,OC[C@@H](N(C(=O)C)C)C(=O)N[C@@H](C(=O)NCC(=O)N([C@@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](Cc2cc(c3cc1ccc3O)c(O)cc2)C(=O)O)C)C
3HA,OC(=O)c1cccc(c1N)O
VDN,CCOc1ccc(cc1c1[nH]c(=O)c2n(n1)c(CCC)[nH]c2C)S(=O)(=O)N1CC[NH+](CC1)CC
PHE,[NH3+][C@H](C(=O)O)Cc1ccccc1
LEU,[NH3+][C@H](C(=O)O)CC(C)C
PRA,[NH3+]CCCc1ccccc1
CCE,NC(=O)OCC[N+](C)(C)C
NCT,C[N@@H+]1CCC[C@H]1c1cccnc1
TH4,N#C/N=C/1\SCCN1Cc1ccc(nc1)Cl
N1Y,O=N(=O)/C=C/1\NCCN1Cc1ccc(nc1)Cl
N2Y,Clc1ccc(cn1)Cn1ccnc1N
KK3,CC1CCN(CC1)c1nc(N)nc(c1)c1ccc(cc1)C(F)(F)F
DEG,CCCCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
HNV,OC[C@H]1O[C@H](OCC#Cc2ccc(cc2)OC)[C@H]([C@H]([C@@H]1O)O)O
HNW,OCC#Cc1ccc(cc1)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
FVQ,OC[C@H]1O[C@H](OCC#Cc2cccnc2)[C@H]([C@H]([C@@H]1O)O)O
FYZ,OC[C@H]1O[C@H](OCC#Cc2ccc(cc2)c2ccccc2)[C@H]([C@H]([C@@H]1O)O)O
FK9,CCCSCCCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
XNS,COC(=O)CCCCCCCCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
J73,OC[C@H]1O[C@H](Oc2ccc(cc2)CCn2nnc(c2)CO)[C@H]([C@H]([C@@H]1O)O)O
CWX,OC[C@H]1O[C@H](Oc2ccc(cc2)c2ccc(cc2)S(=O)(=O)NC)[C@H]([C@H]([C@@H]1O)O)O
CWK,OC[C@H]1O[C@H](Oc2ccc(cc2Cl)c2ccc(cc2)C#N)[C@H]([C@H]([C@@H]1O)O)O
KGM,CCC/C=C/CCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
3X8,OC[C@H]1O[C@H](Oc2ccc(cc2)c2ccccc2)[C@H]([C@H]([C@@H]1O)O)O
3XJ,OC[C@H]1O[C@H](Oc2ccc(cc2Cl)NC(=O)c2ccc(cc2)C(=O)O)[C@H]([C@H]([C@@H]1O)O)O
3XN,OC[C@H]1O[C@H](Oc2ccc(cc2)n2ccc3c2ccc(c3)N(=O)=O)[C@H]([C@H]([C@@H]1O)O)O
3XO,OC[C@H]1O[C@H](Oc2ccc(cc2Cl)NC2=C(C(=O)C2=O)N2CC[N@H+](CC2)C)[C@H]([C@H]([C@@H]1O)O)O
EJN,OC[C@H]1O[C@H](Oc2ccc(cc2)c2c(F)c(F)c(c(c2F)F)F)[C@H]([C@H]([C@@H]1O)O)O
EJK,OC[C@H]1O[C@H](Oc2ccc(cc2Cl)c2c(F)c(F)c(c(c2F)F)C#N)[C@H]([C@H]([C@@H]1O)O)O
UBA,[NH3+][C@H](C(=O)O)Cn1cc(C)c(=O)n(c1=O)Cc1ccsc1C(=O)O
UBC,[NH3+][C@H](C(=O)O)Cn1ccc(=O)n(c1=O)Cc1ccccc1C(=O)O
ACD,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
S1A,CO[C@@H]1/C=C/[C@H](C)[C@@H]2O[C@](O)([C@H](C)C(=O)O[C@@H](CCCC[C@@H]1OC)c1ccccc1)[C@@H]([C@H]([C@@H]2C)O)OC
GLN,NC(=O)CC[C@@H](C(=O)O)[NH3+]
