PDBCode,resolution,release_year,pkd,lig_name
2ha6,2.25,2006,4.32,SCK
2qtt,1.93,2008,4.32,FMC
2x4u,2.1,2010,4.32,9-mer
3c3q,2.1,2008,4.32,18-mer
3nth,2.8,2010,4.32,6-mer
3tpu,3.1,2011,4.32,9-mer
4hco,2.75,2012,4.32,IMW
4q7p,1.65,2015,4.32,3MH
4rsk,2.1,1998,4.32,U3P
4u43,2.18,2014,4.32,3D8
4ucc,2.05,2015,4.32,ZKW
5m28,1.08,2017,4.32,MLR
6i5p,1.81,2019,4.32,9-mer
6jad,1.9,2019,4.32,PAL
1olx,2.25,2003,4.33,TDP
2uze,2.4,2007,4.33,C95
2xo8,2.4,2011,4.33,H70
3aya,2.0,2011,4.33,3-mer
3l7a,1.9,2010,4.33,DKY
4cc2,1.55,2013,4.33,12-mer
4cc7,1.97,2013,4.33,12-mer
4ibj,1.54,2014,4.33,1D9
4ijh,1.5,2013,4.33,1EJ
4zcs,2.45,2016,4.33,CDC
5ods,3.09,2018,4.33,18-mer
6czb,2.4,2018,4.33,UTP
6exj,1.8,2018,4.33,7-mer
6g29,1.7,2019,4.33,EHK
6mdd,2.05,2019,4.33,JE7
1e3v,2.0,2001,4.34,DXC
1jyc,2.75,2002,4.34,15-mer
1z6s,1.5,2005,4.34,AMP
2ha5,2.15,2006,4.34,AT3
2iv9,1.9,2007,4.34,12-mer
3r5m,2.8,2012,4.34,MLO
3uvx,1.91,2012,4.34,11-mer
4lys,1.83,2014,4.34,2SJ
4nxr,1.9,2015,4.34,8-mer
4yxd,3.0,2016,4.34,FTN
5agi,1.47,2015,4.34,ANZ
5goe,1.8,2017,4.34,GDP
5n3v,1.12,2017,4.34,8L5
5yc1,2.51,2017,4.34,5-mer
6ajz,1.3,2019,4.34,LOC
1ghv,1.85,2002,4.35,120
1sv3,1.35,2004,4.35,ANN
1t37,2.6,2004,4.35,5-mer
1yfz,2.2,2005,4.35,IMP
1zm6,2.6,2005,4.35,5-mer
2rok,,2009,4.35,2-mer
3feg,1.3,2008,4.35,HC7
4a2a,1.8,2012,4.35,16-mer
4eeh,1.6,2012,4.35,HH6
4ez3,2.0,2012,4.35,0S0
4j82,1.46,2013,4.35,5-mer
4owv,1.9,2014,4.35,BE2
5erg,2.2,2016,4.35,SAM
5hjc,2.6,2016,4.35,9-mer
5ka7,2.06,2017,4.35,OTA
5l6i,2.76,2017,4.35,B39
5vt4,3.21,2017,4.35,9KJ
6cec,1.55,2018,4.35,EY7
6d1a,1.25,2019,4.35,TWB
6i0r,2.1,2019,4.35,QAT
6r1a,1.54,2019,4.35,JP8
1dy4,1.9,2000,4.36,SNP
1n5z,2.7,2002,4.36,14-mer
1wbw,2.41,2005,4.36,LI4
1we2,2.3,2005,4.36,DHK
2ez7,2.0,2006,4.36,DHI
2fys,2.5,2006,4.36,17-mer
3c3o,2.15,2008,4.36,13-mer
3dpc,2.3,2009,4.36,10-mer
3rsr,2.3,2012,4.36,N5P
3wpn,2.8,2015,4.36,B4S
4idz,2.46,2013,4.36,OGA
4nbn,1.75,2013,4.36,2J7
5alv,1.8,2015,4.36,6TZ
5mf6,1.87,2016,4.36,7M2
5ti3,1.7,2017,4.36,7CG
5ujo,1.35,2017,4.36,LSI
5wbp,2.74,2017,4.36,A2J
6fer,2.87,2018,4.36,D6Q
6gih,1.96,2018,4.36,EZN
6qme,1.81,2019,4.36,J6Q
1bug,2.7,1999,4.37,URS
1td7,2.5,2004,4.37,NFL
2jdy,1.7,2007,4.37,MMA
2zif,2.4,2008,4.37,SAM
4clz,1.9,2014,4.37,4DS
4dt2,2.7,2012,4.37,0LV
4gu9,2.4,2013,4.37,4GU
4o3t,2.99,2014,4.37,11-mer
5cuu,2.96,2016,4.37,4GA
5d6f,1.55,2016,4.37,57R
5oh7,1.85,2018,4.37,HYN
5sy3,2.3,2016,4.37,74Z
6qi4,1.78,2019,4.37,FKW
1bhf,1.8,1998,4.38,5-mer
1p7m,,2003,4.38,ADK
1qvt,2.89,2004,4.38,PRL
2wmu,2.6,2009,4.38,ZYU
2y4a,2.7,2011,4.38,BH6
3b24,1.7,2011,4.38,B2J
3guz,1.67,2010,4.38,PAF
3nfl,1.91,2011,4.38,16-mer
3sc1,2.7,2011,4.38,3S1
3snb,2.4,2011,4.38,6-mer
3u9q,1.52,2011,4.38,DKA
4ce1,2.01,2014,4.38,7FK
5afj,2.22,2015,4.38,42R
5ut4,2.0,2017,4.38,DQX
6h75,1.45,2019,4.38,SLB
6hgj,1.83,2019,4.38,AS4
6mla,1.58,2019,4.38,ARG
6o5u,1.4,2019,4.38,KAN
1jh1,2.7,2001,4.39,JST
1uyc,2.0,2004,4.39,PU7
2avq,1.3,2006,4.39,2NC
2hjb,1.85,2007,4.39,PZM
3c3r,2.02,2008,4.39,13-mer
3djo,1.6,2009,4.39,U2P
3e62,1.92,2008,4.39,5B1
3snc,2.58,2011,4.39,6-mer
3tll,1.37,2012,4.39,62D
4b82,2.1,2013,4.39,B3Z
4bek,2.39,2013,4.39,XK0
4mdr,1.85,2014,4.39,10-mer
4p4t,2.3,2014,4.39,GDP
4zt8,1.98,2015,4.39,CYT
5e8w,1.86,2016,4.39,STU
5hfj,3.1,2016,4.39,SAM
5mar,1.89,2017,4.39,7KE
5orh,1.75,2018,4.39,A4N
5ti5,1.83,2017,4.39,7CN
5zni,2.3,2019,4.39,YMZ
6eu6,1.98,2018,4.39,NH4
6keb,3.2,2019,4.39,D6C
1btn,2.0,1996,4.4,I3P
1jmq,,2001,4.4,10-mer
1p57,1.75,2004,4.4,CR4
1py1,2.6,2003,4.4,7-mer
2ohs,2.45,2007,4.4,9IP
2pwd,1.8,2007,4.4,NOJ
2vio,1.8,2008,4.4,L1O
3ava,1.7,2012,4.4,8-mer
3fcf,1.84,2009,4.4,FCF
3fn0,1.8,2009,4.4,9-mer
3i5r,1.7,2010,4.4,12-mer
3itu,1.58,2009,4.4,IBM
3jzg,2.1,2009,4.4,4-mer
3l6x,2.4,2010,4.4,18-mer
3np9,2.0,2011,4.4,Z2T
3unn,1.7,2012,4.4,8-mer
3va4,1.54,2012,4.4,11-mer
3wgg,2.1,2014,4.4,8NA
3zls,2.5,2013,4.4,92P
4abd,1.25,2012,4.4,SW2
4b80,2.5,2013,4.4,A36
4dy6,2.2,2012,4.4,A22
4omk,1.75,2015,4.4,SQL
4pl0,2.7,2014,4.4,ANP
4pp0,1.57,2014,4.4,OP1
4zh3,4.08,2015,4.4,4OD
5aer,2.19,2015,4.4,14-mer
5ai6,2.3,2015,4.4,4XH
5fsm,1.67,2016,4.4,N91
5ivf,1.68,2016,4.4,6EB
5l44,1.75,2016,4.4,K26
5mri,2.0,2017,4.4,Q9Y
5uv2,2.2,2017,4.4,LA6
6cha,1.8,1987,4.4,PBA
6hot,1.5,2019,4.4,CIY
6i0p,1.9,2019,4.4,QAS
6r0s,1.55,2019,4.4,JOH
6r0u,1.7,2019,4.4,JO5
6r12,1.74,2019,4.4,JOT
6r1x,1.8,2019,4.4,JPQ
6rsa,,1986,4.4,UVC
7kme,2.1,1999,4.4,7-mer
1i8j,1.9,2001,4.41,DSB
1l6s,1.7,2002,4.41,DSB
1no6,2.4,2003,4.41,794
1olu,1.9,2003,4.41,TDP
2csn,2.5,1996,4.41,CKI
2ypp,2.3,2013,4.41,TYR
3iqi,1.7,2009,4.41,5-mer
3rqf,2.7,2011,4.41,13-mer
3rsx,2.48,2011,4.41,RSV
3uxd,1.8,2012,4.41,0CU
3vb6,2.5,2012,4.41,7-mer
3zqt,2.29,2011,4.41,30Z
4exs,2.4,2012,4.41,X8Z
4fpf,2.23,2012,4.41,JKK
4ou3,1.95,2014,4.41,6-mer
4qn9,2.65,2015,4.41,DXC
4usi,1.45,2014,4.41,AKG
5bot,1.85,2015,4.41,4UM
5dtr,2.34,2016,4.41,5F7
5e74,1.78,2015,4.41,5KH
5ka9,2.07,2017,4.41,OTA
5km2,1.25,2017,4.41,C5P
5oh1,1.7,2018,4.41,9UQ
6qtx,1.95,2019,4.41,10-mer
1h00,1.6,2003,4.42,FCP/FAP
1rsi,2.2,2004,4.42,977
1tjp,1.5,2005,4.42,HPF
2poq,2.59,2007,4.42,ISD
2vr0,2.8,2008,4.42,HQO
2wfg,2.2,2009,4.42,ZZB
3dri,1.8,2009,4.42,6-mer
3igb,2.24,2009,4.42,454
3p23,2.7,2011,4.42,ADP
3qvv,2.35,2011,4.42,3QV
3rtm,2.76,2011,4.42,RTM
4cc5,1.88,2014,4.42,L5V
4ek9,2.5,2012,4.42,EP4
4nrb,2.08,2013,4.42,2LX
4q7s,1.8,2015,4.42,2YU
5eps,1.47,2016,4.42,5QX
5h9q,1.93,2016,4.42,TD2
5jcj,1.76,2016,4.42,6JM
5mk9,0.92,2017,4.42,BCD
5sz9,2.85,2016,4.42,74Y
5xp7,2.01,2017,4.42,8C6
6cd9,1.55,2018,4.42,4-mer
6h8s,1.77,2018,4.42,FSZ
6jax,1.7,2019,4.42,8-mer
6o3y,2.8,2019,4.42,13-mer
1rgl,2.0,1993,4.43,2GP
1rst,1.7,1997,4.43,9-mer
2a3c,2.07,2005,4.43,PNX
2f6v,1.7,2005,4.43,SK2
2ha0,2.2,2006,4.43,NWA
2pu2,1.86,2008,4.43,DK2
2we3,2.0,2009,4.43,DUT
2wyf,2.4,2010,4.43,GLA-MBG
3art,2.23,2011,4.43,DEQ
3b82,2.35,2008,4.43,NAD
3kqr,1.5,2010,4.43,OPE
3m3e,2.1,2010,4.43,3-mer
3pxf,1.8,2011,4.43,2AN
3pxq,1.9,2011,4.43,2AN
3tvw,2.8,2011,4.43,07H
3vbt,2.23,2012,4.43,0F9
4axd,2.05,2012,4.43,ANP
4bdd,2.67,2013,4.43,Z0O
4dsy,2.3,2012,4.43,0LO
4ibf,2.29,2014,4.43,1D5
4joo,1.8,2013,4.43,1M4
4jpy,2.13,2013,4.43,PHE
4kcx,2.0,2013,4.43,1QK
4mnq,2.74,2013,4.43,9-mer
4qf9,2.28,2015,4.43,35K
4xhl,3.01,2016,4.43,CKI
4ykj,1.4,2015,4.43,ALA
4zw5,1.8,2016,4.43,4SA
5f2p,1.8,2016,4.43,5TY
5g4o,1.48,2016,4.43,O80
5h5f,1.7,2017,4.43,SAM
5kad,1.9,2017,4.43,OTA
5knt,2.55,2017,4.43,6WB
5tus,2.66,2017,4.43,7LL
5w1v,3.31,2017,4.43,9-mer
6u80,1.55,2019,4.43,Q1J
1k2v,1.97,2002,4.44,DEF
2amt,2.3,2006,4.44,1AA
2aoh,1.42,2006,4.44,10-mer
2q9y,2.85,2008,4.44,BTM
3ex3,1.45,2009,4.44,U5P
3hfj,2.02,2009,4.44,DZ9
3iiw,1.8,2009,4.44,11-mer
3k27,1.76,2009,4.44,9-mer
3okc,2.4,2010,4.44,GDP
3pd3,1.86,2010,4.44,A3T
3u81,1.13,2012,4.44,SAH
3wb4,2.25,2013,4.44,0B3
4d1b,3.8,2014,4.44,5FH
4dhp,1.75,2013,4.44,Y07
4hcz,1.85,2012,4.44,10-mer
4jfd,2.46,2013,4.44,10-mer
4k3o,2.0,2013,4.44,6-mer
4pd6,2.08,2014,4.44,URI
4rrr,1.86,2015,4.44,A3T
4x2l,2.55,2015,4.44,3WP
4zsr,1.65,2015,4.44,4RY
5azf,1.6,2015,4.44,4-mer
5d6j,2.25,2016,4.44,ATP
5hed,1.7,2016,4.44,9-mer
5mrd,1.41,2017,4.44,S26
6c3l,1.46,2019,4.44,EGP
6np4,1.15,2019,4.44,TOY
6ppy,2.0,2019,4.44,OVY
1zhk,1.6,2005,4.45,13-mer
2wbg,1.85,2009,4.45,LGS
3atp,2.5,2011,4.45,SER
4g2r,2.28,2014,4.45,H1L
4h71,1.93,2012,4.45,PXE
5gow,,2016,4.45,19-mer
6ccu,1.75,2018,4.45,4-mer
6g8k,1.25,2019,4.45,11-mer
6q3q,2.0,2018,4.45,8-mer
1qvu,2.96,2004,4.46,PRL
1v1k,2.31,2004,4.46,3FP
1w84,2.2,2005,4.46,L12
1wvc,2.5,2005,4.46,CTP
2h9m,1.9,2006,4.46,11-mer
2j4q,2.6,2007,4.46,TTP
2lyb,,2013,4.46,8SP
2pt9,2.2,2008,4.46,S4M
2v85,2.0,2007,4.46,12-mer
2v86,2.05,2007,4.46,9-mer
2w2u,2.2,2009,4.46,14-mer
2zit,3.0,2008,4.46,NAD
3bmn,1.98,2008,4.46,AX3
3jq8,1.95,2009,4.46,DX3
3jqa,1.9,2009,4.46,DX4
3jqf,1.6,2009,4.46,AX2
3pqz,2.41,2011,4.46,11-mer
3sgv,1.61,2012,4.46,2BJ
3tsz,2.5,2011,4.46,12-mer
4gki,1.88,2012,4.46,0JN
4i8n,2.5,2012,4.46,1CG
4urn,2.3,2014,4.46,NOV
5akg,2.51,2015,4.46,6N6
5c3p,2.1,2015,4.46,AKG
5dpx,1.85,2017,4.46,L3B
5jox,1.8,2016,4.46,EDG
6cq0,3.19,2018,4.46,F8M
6fui,1.38,2018,4.46,E7W
6ufo,2.68,2019,4.46,Q6P
2bj4,2.0,2005,4.47,11-mer
2f70,2.12,2005,4.47,UN6
2r2w,2.01,2007,4.47,4PG
2v83,2.4,2007,4.47,9-mer
3hec,2.5,2009,4.47,STI
3hl5,1.8,2009,4.47,9JZ
3skk,1.7,2011,4.47,4U7
4cix,2.9,2014,4.47,W4N
4cu8,2.5,2014,4.47,DGJ
4lh7,1.9,2013,4.47,1X8
4mra,2.34,2014,4.47,QUE
4odq,2.0,2015,4.47,16-mer
4owo,1.99,2014,4.47,6F0
4ym4,3.12,2015,4.47,12-mer
5afn,2.22,2015,4.47,OJD
5dtj,2.71,2015,4.47,5G8
5eay,1.55,2015,4.47,13-mer
5el2,1.75,2016,4.47,KBR
5ifu,2.45,2016,4.47,GBM
6d1d,1.4,2019,4.47,GTV
6d1g,1.15,2019,4.47,YKG
6f05,2.2,2018,4.47,GTS
6gcl,1.95,2019,4.47,EUE
1jaq,2.4,1996,4.48,01S
1qan,2.4,2000,4.48,SAH
1r5v,2.5,2004,4.48,13-mer
1zkk,1.45,2005,4.48,10-mer
2jq9,,2007,4.48,17-mer
2ogy,2.3,2007,4.48,C2F
2wwj,2.6,2010,4.48,Y28
2xln,2.4,2011,4.48,EWA
3bsc,2.65,2008,4.48,2PD
3p17,1.43,2011,4.48,99P
3pd4,2.4,2010,4.48,A3G
3s0o,2.0,2012,4.48,50Z
3t01,1.6,2011,4.48,PPF
3udm,1.94,2012,4.48,09A
3vd7,2.87,2012,4.48,GTZ
4bvb,2.0,2013,4.48,OCZ
4dhl,2.3,2012,4.48,0K7
4eke,2.6,2012,4.48,D1I
4oks,2.25,2014,4.48,2T9
4rxc,2.31,2015,4.48,HRX
5a7y,2.5,2016,4.48,SAH
5f0h,1.99,2016,4.48,5TC
5ka1,1.84,2017,4.48,OTA
5lca,1.93,2017,4.48,B06
5o1e,1.3,2018,4.48,9GT
5ovv,1.4,2018,4.48,7-mer
5swg,3.11,2017,4.48,CAQ
5tya,1.5,2017,4.48,7QS
5wxf,1.46,2018,4.48,12-mer
5yto,1.9,2018,4.48,946
6c5f,1.4,2018,4.48,7L9
6d15,1.3,2019,4.48,TWB
6gh9,2.09,2018,4.48,MIX
6gqm,2.0,2018,4.48,F8H
6hoy,1.7,2018,4.48,TSN
6qrf,1.86,2019,4.48,JF5
6r8p,1.45,2019,4.48,JVB
1hi4,1.8,2001,4.49,A3P
1j14,2.4,2002,4.49,BEN
1o7o,1.97,2003,4.49,UDP
2prj,2.3,1998,4.49,NBG
3f9y,1.5,2008,4.49,10-mer
3h26,2.5,2009,4.49,B56
3hl8,1.55,2010,4.49,BBP
3kmy,1.9,2010,4.49,D8Y
3l2y,2.7,2010,4.49,OPE
3udk,2.51,2012,4.49,095
4ccd,1.97,2013,4.49,2DG
4cwf,2.0,2014,4.49,H05
4dhq,1.75,2013,4.49,Y06
4el0,2.4,2012,4.49,D1K
4nmq,1.4,2014,4.49,10-mer
5isz,2.06,2017,4.49,9-mer
5t19,2.1,2017,4.49,73U
5wii,2.79,2017,4.49,AO4
6b7a,1.99,2017,4.49,CWM
6dyo,2.84,2019,4.49,LDP
6g86,1.74,2018,4.49,16-mer
6mt5,1.55,2019,4.49,9-mer
1d6n,2.7,1999,4.5,PPO
2eg8,2.2,2007,4.5,FOT
3n7h,1.6,2011,4.5,DE3
3ro0,1.5,2011,4.5,TPT
3sw8,1.7,2011,4.5,5LI
4dcx,2.0,2012,4.5,L2D
4j81,1.75,2013,4.5,5-mer
5lj1,1.9,2016,4.5,6XX
5ovx,2.1,2017,4.5,AY5
5yl2,2.09,2018,4.5,8WU
6j7l,1.85,2019,4.5,TYD
6jag,1.85,2019,4.5,TRE
1gi7,1.79,2002,4.51,120
1zkn,2.1,2005,4.51,IBM
2r1y,1.6,2008,4.51,2-mer
2xct,3.35,2010,4.51,CPF
2yog,1.5,2013,4.51,74X
2zlf,2.59,2008,4.51,7-mer
3aas,1.75,2010,4.51,GUS
3puj,3.31,2011,4.51,10-mer
3uug,1.75,2012,4.51,BDP
4abb,1.25,2012,4.51,K9S
4d2w,1.92,2014,4.51,NF5
4g90,1.9,2012,4.51,0G0
4jfe,2.7,2013,4.51,10-mer
4jxv,1.76,2014,4.51,1MU
4ok5,2.15,2014,4.51,2T2
4z2o,1.17,2015,4.51,12-mer
5aqg,2.24,2016,4.51,ZJB
5auv,1.5,2015,4.51,AGI
5k6a,1.7,2017,4.51,6QT
5l8n,2.12,2016,4.51,6RQ
6bau,3.8,2018,4.51,CYS
6nu1,2.25,2019,4.51,CYS
6qlq,1.08,2019,4.51,J4E
1a85,2.0,1999,4.52,0DY
1ctt,2.2,1995,4.52,DHZ
1gu1,1.8,2002,4.52,FA1
1mrn,2.45,2003,4.52,T5A
1uyf,2.0,2004,4.52,PU1
1xz8,2.8,2005,4.52,U5P
1z4n,1.97,2005,4.52,GL1
1z4o,1.9,2005,4.52,GL1
2a4m,2.3,2005,4.52,TRP
2bua,2.56,2006,4.52,007
2gfk,1.9,2007,4.52,VII
2h1h,2.4,2007,4.52,AFH
2lyw,,2012,4.52,13-mer
2opy,2.8,2007,4.52,CO9
2puy,1.43,2007,4.52,10-mer
2ra6,1.5,2007,4.52,ETY
2vl8,2.31,2008,4.52,UDP
2vur,2.2,2009,4.52,YX1
2wl5,1.8,2009,4.52,COA
2wm0,1.9,2010,4.52,3-mer
2xf0,2.4,2010,4.52,4UB
3bzf,2.5,2008,4.52,9-mer
3ccb,2.49,2008,4.52,B2Y
3dga,2.7,2009,4.52,RJ1
3fdt,2.0,2009,4.52,15-mer
3g4f,2.65,2009,4.52,FPF
3gy7,1.55,2010,4.52,BEN
3ksl,2.05,2009,4.52,SZH
3lau,2.1,2010,4.52,OFI
3q7j,2.91,2011,4.52,FBO
3r0w,1.7,2012,4.52,RSY
3r6u,1.61,2011,4.52,CHT
3t0l,1.6,2012,4.52,1CT
3w5t,2.29,2013,4.52,LHP
4dcy,2.0,2012,4.52,L2M
4gzw,2.45,2012,4.52,3-mer
4igq,2.35,2013,4.52,3-mer
4p0a,2.3,2014,4.52,10-mer
4pku,2.4,2014,4.52,30P
4pml,1.87,2014,4.52,3AB
4pnn,1.65,2014,4.52,JPZ
4pns,1.65,2014,4.52,32Y
4pyn,1.2,2014,4.52,SAH
4pyo,2.1,2014,4.52,SAH
4trc,2.4,2014,4.52,ADE
5awt,2.7,2016,4.52,11-mer
5jhd,2.46,2017,4.52,9-mer
5myn,1.56,2017,4.52,ZUF
5o1a,1.44,2018,4.52,9H5
5o1f,1.38,2018,4.52,9GQ
5th2,1.84,2016,4.52,12-mer
5vh0,2.06,2018,4.52,8P0
5w88,,2017,4.52,9XG
5wcl,,2017,4.52,9XG
5y20,2.41,2018,4.52,7-mer
6ami,1.97,2018,4.52,TRP
6ccn,1.87,2018,4.52,EXS
6f3f,2.42,2017,4.52,ADP
6nco,1.71,2019,4.52,KQP
6p88,1.7,2019,4.52,O4G
6qdx,2.1,2019,4.52,HY8
3h30,1.56,2009,4.53,RFZ
3l81,1.6,2010,4.53,7-mer
3otx,1.55,2011,4.53,AP5
3ued,2.7,2012,4.53,12-mer
4x49,2.01,2015,4.53,G39
5dms,1.9,2015,4.53,9-mer
5o0e,1.5,2018,4.53,18-mer
5tg7,2.28,2017,4.53,JW3
6aji,2.9,2018,4.53,AY6
6em7,1.24,2018,4.53,18-mer
6ema,1.88,2018,4.53,18-mer
6eru,2.15,2018,4.53,18-mer
6esa,1.31,2018,4.53,18-mer
6evp,1.68,2018,4.53,9-mer
6i10,2.1,2019,4.53,GZK
6i11,1.67,2019,4.53,H0H
1amw,1.85,1998,4.54,ADP
1b2h,1.9,1998,4.54,3-mer
1czq,1.5,1999,4.54,17-mer
1i8h,,2001,4.54,13-mer
1lyx,1.9,2003,4.54,PGA
1lzo,2.8,2003,4.54,PGA
1oko,1.6,2003,4.54,GLB
1szd,1.5,2004,4.54,APR
1w80,1.9,2004,4.54,12-mer
2frd,3.2,2006,4.54,NAD
2v96,2.4,2007,4.54,CFQ
2w5i,2.4,2009,4.54,ATP
2zz1,1.57,2009,4.54,6CN
2zz2,1.53,2009,4.54,6CN
3d9p,2.1,2008,4.54,14-mer
3iub,1.5,2009,4.54,FG2
3wka,2.01,2014,4.54,S0G
3zn1,3.1,2013,4.54,6-mer
4b76,2.14,2012,4.54,PW1
4bd3,,2012,4.54,11-mer
4m5h,1.11,2014,4.54,YH2
4nw2,1.9,2014,4.54,15-mer
4x3t,2.14,2015,4.54,45E
5b56,2.3,2016,4.54,12-mer
5etb,1.33,2016,4.54,5RO
5f3z,2.0,2016,4.54,5V5
5gmm,2.0,2017,4.54,949
5iop,2.5,2016,4.54,12-mer
5opc,2.3,2017,4.54,A1Z
5q0t,2.14,2017,4.54,9LM
5tdr,1.42,2016,4.54,11-mer
5u0d,1.59,2017,4.54,7R7
5wg6,3.9,2018,4.54,A9G
5zjf,2.6,2019,4.54,9G9
6e83,,2018,4.54,12-mer
6mi6,2.95,2018,4.54,JSJ
6mm5,1.95,2019,4.54,12-mer
6p5o,1.49,2019,4.54,O2Y
6pga,2.45,2019,4.54,OGM
6pid,1.55,2019,4.54,OKS
1czo,1.85,1999,4.55,FMN hq
1h08,1.8,2003,4.55,BYP
1rrw,2.21,2004,4.55,9MG
1utc,2.3,2004,4.55,9-mer
2aof,1.32,2006,4.55,11-mer
2qn2,2.7,2008,4.55,0MA
2w92,1.65,2009,4.55,NGT
2xag,3.1,2010,4.55,TCF
3adt,2.7,2010,4.55,HID
3aqa,2.3,2011,4.55,BYH
3as0,2.0,2011,4.55,SAU
3b2q,2.1,2008,4.55,ATP
3djv,1.6,2009,4.55,C3P
3mt8,2.0,2011,4.55,17T
3oq5,2.5,2010,4.55,10-mer
3p8p,2.5,2010,4.55,LN6
3ppq,1.91,2011,4.55,CHT
3rr4,1.68,2012,4.55,HRD
3suv,1.6,2012,4.55,NOK
3vby,2.27,2012,4.55,0FR
3zmt,3.1,2013,4.55,6-mer
4hkp,1.75,2012,4.55,16B
4igk,1.75,2013,4.55,7-mer
4mx5,1.52,2014,4.55,5MX
4myd,1.37,2014,4.55,164
4oz3,1.7,2014,4.55,1Z8
5c2o,2.35,2016,4.55,TTP
5oh4,2.3,2018,4.55,9UZ
5oss,1.7,2018,4.55,AEZ
5tg6,1.78,2017,4.55,J4W
6b7e,2.1,2017,4.55,CWA
6edr,2.4,2018,4.55,ZNA
6gnp,2.02,2018,4.55,F4Z
6jio,2.6,2019,4.55,BQ3
6miq,1.75,2018,4.55,8-mer
6pf3,2.39,2019,4.55,OE7
2cgv,2.6,2006,4.56,3B3
3uw9,2.3,2012,4.56,11-mer
3ztc,2.65,2012,4.56,TR0
4j73,1.44,2013,4.56,7-mer
4x3k,1.45,2015,4.56,7-mer
5c4k,3.05,2016,4.56,GET
5dp7,2.08,2016,4.56,5EC
5iql,2.1,2016,4.56,8-mer
5ost,2.1,2018,4.56,AEZ
1i41,3.2,2001,4.57,HEN
1uj0,1.7,2003,4.57,11-mer
1w2g,2.1,2005,4.57,THM
2uzj,1.55,2009,4.57,E64
2uzo,2.3,2007,4.57,C62
2y2h,1.96,2011,4.57,ZA2
2y2n,2.07,2011,4.57,E07
3n8n,2.5,2011,4.57,N88
3p4w,3.2,2011,4.57,DSF
3soq,1.9,2011,4.57,9-mer
3sym,2.4,2012,4.57,GP0
3wb5,2.5,2013,4.57,0B4
4ciy,2.1,2014,4.57,NDY
4dhr,1.4,2013,4.57,Y04
4erk,2.2,1999,4.57,OLO
4fp1,1.68,2013,4.57,BFM
4gvd,1.85,2013,4.57,8-mer
4i11,1.89,2013,4.57,1CH
4or4,2.21,2015,4.57,M7G
4xtm,2.7,2016,4.57,A2G
4yrd,2.44,2015,4.57,3IT
4zs9,1.37,2016,4.57,RAF
5a3h,1.82,1999,4.57,FFC
5hfb,1.62,2016,4.57,9-mer
5ko5,1.36,2017,4.57,CYT
5ovr,2.15,2017,4.57,AXK
5q0r,1.91,2017,4.57,9LG
6g07,1.66,2018,4.57,EEZ
6np5,1.35,2019,4.57,9CS
6nti,2.3,2019,4.57,9CS
2k46,,2008,4.58,NGR
3nc4,2.07,2011,4.58,26O
3vvz,2.51,2013,4.58,RHQ
4bi7,1.6,2013,4.58,PGA
4qbm,1.65,2014,4.58,9-mer
5ei4,1.05,2016,4.58,5NV
5j7q,2.05,2016,4.58,6H2
5n7g,2.95,2017,4.58,7-mer
5u0g,1.54,2017,4.58,7QY
5wfd,2.65,2018,4.58,A9G
6imi,1.46,2019,4.58,AH6
1bma,1.8,1995,4.59,0QH
1d04,1.85,1999,4.59,FMN hq
1fj4,2.35,2000,4.59,TLM
1iew,2.55,2001,4.59,G2F
1kak,2.5,2002,4.59,FNP
1l2s,1.94,2002,4.59,STC
1vcj,2.4,2004,4.59,IBA
2c69,2.1,2005,4.59,CT8
2ihj,2.0,2007,4.59,CSF
2jiw,1.95,2007,4.59,BEU
2x6f,3.3,2010,4.59,3MA
2x6y,1.35,2011,4.59,4-mer
2y2i,1.78,2011,4.59,ZA3
2ybs,2.32,2011,4.59,S2G
3f3t,2.5,2009,4.59,1AU
3h2o,2.7,2009,4.59,B63
3hp9,1.6,2010,4.59,CF1
3iqh,1.9,2009,4.59,5-mer
3msk,2.0,2010,4.59,EV4
3mt9,2.05,2011,4.59,18O
3ob2,2.1,2010,4.59,12-mer
3ujc,1.19,2011,4.59,PC
3wq6,1.8,2014,4.59,ZPA
4c6u,2.4,2013,4.59,TLG
4c6v,2.7,2013,4.59,TLG
4dcv,2.6,2012,4.59,GCP
4g8y,1.8,2012,4.59,0FT
4j74,1.2,2013,4.59,I18
4nrp,1.8,2014,4.59,OGA
4xbo,2.6,2015,4.59,SAH
4xua,1.75,2015,4.59,43C
4yh3,1.6,2016,4.59,Y80
4yh4,1.33,2016,4.59,Y81
4zun,1.4,2015,4.59,SS9
5k9w,2.01,2017,4.59,OTA
5ka3,2.14,2017,4.59,OTA
5ti4,1.62,2017,4.59,7CM
5yco,2.2,2017,4.59,17-mer
5yql,1.6,2018,4.59,A2I
6fnq,1.75,2018,4.59,AVJ
6mxb,2.19,2019,4.59,XMP
6nd3,2.36,2019,4.59,BTL
6oa1,1.8,2019,4.59,M0P
1f7b,1.8,2000,4.6,NAV
1pa9,2.0,2003,4.6,CSN
1q9d,2.35,2003,4.6,OI1
1tx7,1.75,2005,4.6,4CM
1u33,1.95,2004,4.6,LM2
1upf,2.3,1999,4.6,URF
2fsv,2.3,2006,4.6,NAD
2gg8,1.8,2006,4.6,U15
2hpa,2.9,1998,4.6,PT3
2jaj,2.0,2007,4.6,D20
2kbr,,2009,4.6,18-mer
2ohq,2.1,2007,4.6,7IP
